case	kind	index	ah	av	lh	lv	rh	rv
src-key0+37	R	23	68.346007605	250	68.346007605	250	68.346007605	250
src-key0+37	R	24	57.794676806	300	57.794676806	300	57.794676806	300
src-key0+37	R	25	114.828897338	300	114.828897338	300	114.828897338	300
src-key0+37	R	26	183.269961977	300	183.269961977	300	183.269961977	300
src-key0+37	R	27	240.30418251	300	240.30418251	300	240.30418251	300
src-key0+37	R	28	320.152091255	300	320.152091255	300	320.152091255	300
src-key0+37	R	29	400	300	400	300	400	300
src-key0-37	R	0	100	100	100	100	100	100
src-key0-37	R	1	150	100	150	100	150	100
src-key0-37	R	2	210	100	210	100	210	100
src-key0-37	R	3	260	100	260	100	260	100
src-key0-37	R	4	330	100	330	100	330	100
src-key0-37	R	5	400	100	400	100	400	100
src-key0-37	R	6	400	140	400	140	400	140
src-key0-37	R	7	331.537091988	140	331.537091988	140	331.537091988	140
src-key0-37	R	8	263.074183976	140	263.074183976	140	263.074183976	140
src-key0-37	R	9	214.172106825	140	214.172106825	140	214.172106825	140
src-key0-37	R	10	155.489614243	140	155.489614243	140	155.489614243	140
src-key0-37	R	11	106.587537092	140	106.587537092	140	106.587537092	140
src-key0-37	R	12	114.821958457	190	114.821958457	190	114.821958457	190
src-key0-37	R	13	162.351632047	190	162.351632047	190	162.351632047	190
src-key0-37	R	14	219.387240356	190	219.387240356	190	219.387240356	190
src-key0-37	R	15	266.916913947	190	266.916913947	190	266.916913947	190
src-key0-37	R	16	333.458456973	190	333.458456973	190	333.458456973	190
src-key0-37	R	17	400	190	400	190	400	190
src-key0-37	R	18	400	250	400	250	400	250
src-key0-37	R	19	335.764094955	250	335.764094955	250	335.764094955	250
src-key0-37	R	20	271.528189911	250	271.528189911	250	271.528189911	250
src-key0-37	R	21	225.645400593	250	225.645400593	250	225.645400593	250
src-key0-37	R	22	170.586053412	250	170.586053412	250	170.586053412	250
src-key0-37	R	23	124.703264095	250	124.703264095	250	124.703264095	250
src-key0-37	R	24	132.93768546	300	132.93768546	300	132.93768546	300
src-key0-37	R	25	177.448071217	300	177.448071217	300	177.448071217	300
src-key0-37	R	26	230.860534125	300	230.860534125	300	230.860534125	300
src-key0-37	R	27	275.370919881	300	275.370919881	300	275.370919881	300
src-key0-37	R	28	337.685459941	300	337.685459941	300	337.685459941	300
src-key0-37	R	29	400	300	400	300	400	300
src-key1+37	R	0	100	100	100	100	100	100
src-key1+37	R	1	150	100	150	100	150	100
src-key1+37	R	2	210	100	210	100	210	100
src-key1+37	R	3	260	100	260	100	260	100
src-key1+37	R	4	330	100	330	100	330	100
src-key1+37	R	5	400	100	400	100	400	100
src-key1+37	R	6	400	140	400	140	400	140
src-key1+37	R	7	330	138.542897328	330	138.542897328	330	138.542897328
src-key1+37	R	8	260	137.085794655	260	137.085794655	260	137.085794655
src-key1+37	R	9	210	136.045007032	210	136.045007032	210	136.045007032
src-key1+37	R	10	150	134.796061885	150	134.796061885	150	134.796061885
