case	kind	index	ah	av	lh	lv	rh	rv
remove-anchor	S	2	340	260	340	260	340	260
remove-anchor	S	3	90	240	90	240	90	240
remove-anchor	R	0	81.6	93.87826087	81.6	93.87826087	81.6	93.87826087
remove-anchor	R	1	317.55	128.8	317.55	128.8	317.55	128.8
remove-anchor	R	2	390	253.043478261	390	253.043478261	390	253.043478261
remove-anchor	R	3	105	251.304347826	105	251.304347826	105	251.304347826
curve-handle	S	0	100	100	100	100	100	100
curve-handle	S	1	300	120	300	120	420	40
curve-handle	S	2	340	260	340	260	340	260
curve-handle	S	3	180	330	180	330	180	330
curve-handle	S	4	90	240	90	240	90	240
curve-handle	R	0	79.510204082	91.086474501	79.510204082	91.086474501	79.510204082	91.086474501
curve-handle	R	1	314.621472937	131.456666345	314.621472937	131.456666345	442.628571429	76.733828208
curve-handle	R	2	381.687311446	260.241010315	381.687311446	260.241010315	381.687311446	260.241010315
curve-handle	R	3	212.889795918	340.22172949	212.889795918	340.22172949	212.889795918	340.22172949
curve-handle	R	4	94.802129547	248.260869565	94.802129547	248.260869565	94.802129547	248.260869565
